index	text	gold_answer	slice	llm_output
18	On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party.	No	Non-assertive conduct	{'answer': 'Yes', 'explanation': 'Hearsay involves an out-of-court statement being used to prove the truth of the matter asserted. In this scenario, the fact that one party had mistaken the identity of the other is being used to challenge whether a mutual agreement was reached, which could rely on what that party believed or asserted outside of court. Since this statement about mistaking identity is used to ascertain the validity of the contract agreement, it constitutes hearsay.'}
19	On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted. In this case, the witness is testifying in court about her belief regarding which car was responsible, thus making it a direct in-court statement rather than hearsay. The witness is not repeating someone else's out-of-court statement to prove the fact in question.""}"
20	On the issue of the faultiness of the designed house, the drawing the witness made on the stand during testimony.	No	Statement made in-court	{'answer': 'No', 'explanation': 'The drawing made by the witness on the stand during testimony is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. It is a demonstrative aid used by the witness to help explain or illustrate their testimony given in court.'}
21	On the issue of which of the defendants was responsible for driving the get-away car, the fact that the witness on the stand turned and pointed to the man in the blue suit.	No	Statement made in-court	{'answer': 'No', 'explanation': 'Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted. However, a witness pointing to someone in court is not a statement made out of court but is rather a demonstrative identification made during testimony. This action is a part of the witness’s direct testimony and is not subject to hearsay rules.'}
22	On the issue of whether Ana lied to Jim, Jim's statement on cross-examination that he did not believe Ana to be an honest individual.	No	Statement made in-court	"{'answer': 'Yes', 'explanation': ""Jim's statement on cross-examination that he did not believe Ana to be an honest individual is hearsay. It is an out-of-court statement introduced for the purpose of proving that Ana lied to Jim, which is the truth of the matter asserted regarding Ana's honesty.""}"
23	On the issue of whether Daniel drove negligently, the fact that Daniel testified during the trial that he told his wife he was tired before driving into a tree.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Hearsay is defined as an out-of-court statement introduced to prove the truth of the matter asserted. In this case, Daniel's statement about telling his wife he was tired is made by Daniel himself during the trial, and thus, it is not an out-of-court statement. His direct testimony is not hearsay.""}"
24	On the issue of whether Carl had knowledge of Amy's intentions, Carl told the questioning attorney on redirect examination that he knew Amy's intentions.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Carl's statement to the attorney on redirect examination regarding his knowledge of Amy's intentions is not hearsay because it is an out-of-court statement offered not to prove the truth of the matter asserted (i.e., Amy's actual intentions), but rather to demonstrate Carl's awareness or perception of Amy's intentions. Hearsay concerns arise when statements are used to prove the truth of an assertion outside of testimony, whereas in this case, the focus is on Carl's state of knowledge.""}"
25	"On the issue of whether Nancy knew who attacked her, Nancy's statement in court, ""I was attacked by Sandra."""	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted. Nancy's statement in court is not hearsay because it is a statement made by a witness testifying under oath at trial, making it a direct piece of evidence rather than an out-of-court statement.""}"
26	During the trial, Mark nodded when asked if it was him who vandalized Emily's garage.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted. Here, Mark's nod is a nonverbal conduct not intended as an assertion but rather an adoptive admission in response to a question, and it was made in court. As such, it does not constitute hearsay because it is a direct response to the officer's question rather than an out-of-court statement.""}"
27	On the issue of which employee saw Emily last, the fact that James testified on the stand that he was on vacation that day and had last spoken to Emily the week before.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""James's testimony on the stand is a direct account of his own actions and observations, not an out-of-court statement being introduced for its truth. James is recounting his personal knowledge regarding when he last spoke to Emily. Since it is based on his own experiences rather than relaying the statement of another, it is not considered hearsay.""}"
28	"On the issue of whether Will knew that the company intended to announce its drug trials had been cancelled, the fact that he told the jury that ""he didn't know the first thing about how medicines worked."""	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Will's statement to the jury that he didn't know the first thing about how medicines worked is not hearsay because it is his own out-of-court statement being introduced at trial, not to prove the truth of the matter asserted (whether or not he understood drug trials), but rather to establish his knowledge or state of mind regarding the company's announcement. Therefore, it is not being offered to prove the content of the statement, but rather his personal knowledge or belief.""}"
29	On the issue of the defendant's guilt, Alex told the jury that he believed the defendant was guilty.	No	Statement made in-court	"{'answer': 'Yes', 'explanation': ""The statement by Alex that he believed the defendant was guilty is hearsay because it is an out-of-court statement offered to prove the truth of the matter asserted, namely the defendant's guilt. Beliefs or opinions about a matter do not constitute direct evidence of the fact at issue and are thus considered hearsay if introduced for that purpose.""}"
30	When showed floorplans of the museum during the trial, Andrew pointed out all the escape routes that he and his co-conspirators had planned to use. 	No	Statement made in-court	{'answer': 'No', 'explanation': 'The statement is not hearsay because Andrew is testifying in court, and the floorplans and his points about escape routes are his own statements made under oath. Hearsay involves an out-of-court statement offered to prove the truth of the matter asserted, which is not the case here as Andrew is directly testifying about his knowledge and actions.'}
31	"When asked if he was remorseful by his attorney, Adam testified that ""he regretted his actions."""	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Adam's statement that he 'regretted his actions' is not hearsay because it is an admission by a party-opponent. Admissions by a party-opponent are an exclusion from hearsay, as they are statements made by a party in the case that can be used against them.""}"
32	On the issue of whether Donna was ill, the fact that Margaret testified during trial that she thought Donna was unwell.	No	Statement made in-court	"{'answer': 'Yes', 'explanation': ""Margaret's testimony that she thought Donna was unwell is based on Margaret's out-of-court perception, which is being introduced to prove the truth of the matter asserted—that Donna was actually ill. This qualifies as hearsay since it's an out-of-court statement being used to establish the fact that Donna was unwell.""}"
33	On the issue of the sanity of Deborah, the fact that Deborah told her friend that she is completely sane.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""Hearsay involves an out-of-court statement offered to prove the truth of the matter asserted. In this case, Deborah's statement to her friend that she is completely sane is being offered to prove her sanity, which is the matter asserted. Since it is an out-of-court statement used for that purpose, it qualifies as hearsay.""}"
34	On the issue of whether Joshua's friend was attacked by Ashley, the fact that Joshua's friend told Joshua that he was just attacked by Ashley.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement by Joshua's friend about being attacked by Ashley is an out-of-court statement introduced to prove the truth of the matter asserted, namely, that Ashley attacked Joshua's friend. This fits the definition of hearsay, as it is being used to establish that the attack occurred.""}"
35	To prove that Tom was in town, a witness testifies that her friend Susan told her Tom was in town.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement that a witness's friend (Susan) told her that Tom was in town is hearsay because it is an out-of-court statement introduced to prove the truth of the matter asserted, namely that Tom was in town. The witness is repeating what Susan said outside of court, and it is being used to establish a fact about Tom's whereabouts.""}"
36	To prove that Shirley committed fraud, the fact that she told her neighbor she was planning on tricking the defendant by selling them a fake handbag.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement that Shirley told her neighbor about planning to trick the defendant by selling them a fake handbag is hearsay because it is an out-of-court statement introduced to prove the truth of the matter asserted, i.e., that Shirley committed fraud. The statement itself is not being offered to demonstrate its effect on the listener or for some other non-hearsay purpose, but to show Shirley's intent or plan to commit fraud.""}"
37	To prove that Stephen drove his car through a stoplight, the fact that Stephen told his wife on the phone that he was not paying attention to the road.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement made by Stephen to his wife on the phone about not paying attention to the road qualifies as hearsay. It is an out-of-court statement introduced to prove the truth of the matter asserted—that Stephen was not paying attention, which led to the car running through the stoplight.'}
38	"On the issue of whether Henry negligently hit Kelly with his car, Kelly's statement, ""a witness told me after the crash that Henry was on his cell phone while driving."""	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""Kelly's statement refers to an out-of-court statement made by a witness who allegedly told Kelly that Henry was on his cell phone while driving. It is being introduced to prove the truth of the matter asserted, which is that Henry was indeed on the phone, constituting hearsay.""}"
39	On the issue of whether Sean knew he was going to die, the fact that he called his lawyer wanting to make final changes to his will.	Yes	Standard hearsay	"{'answer': 'No', 'explanation': ""The fact that Sean called his lawyer to make final changes to his will is not hearsay because it is not being offered to prove the truth of the matter asserted within the conversation. Instead, it is offered as circumstantial evidence of Sean's belief or state of mind (specifically, his awareness of his impending death).""}"
40	To prove that Alice was planning a robbery, the fact that she told Bob she was researching escape routes.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement that Alice told Bob she was researching escape routes is hearsay because it is an out-of-court statement offered to prove the truth of the matter asserted—that Alice was planning a robbery. Unless the statement falls under an exception to the hearsay rule, it cannot be introduced in court solely to demonstrate her plan.'}
41	To prove that Bruce committed medical malpractice, the fact that he told a nurse after the surgery that he thought he made a mistake.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is hearsay because it is an out-of-court statement made by Bruce telling a nurse that he thought he made a mistake, which is introduced to prove the truth of the matter asserted (that Bruce committed medical malpractice). This statement is offered to demonstrate Bruce's acknowledgment of an error, which is a critical point in the malpractice claim.""}"
42	To prove that Alice suffered reputational harm, the fact that people were telling Bob that they had heard bad things about Alice.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'To prove that Alice suffered reputational harm, the fact that people were telling Bob that they had heard bad things about Alice is hearsay. This is because the statement being introduced is an out-of-court statement made by others, introduced to prove the truth of the matter asserted, i.e., that bad things were said about Alice and it impacted her reputation.'}
43	To prove that the Denise and Tom were married, the fact that Amber sent them a card congratulating them on their wedding.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The card sent by Amber congratulating Denise and Tom on their wedding is an out-of-court statement introduced to prove the truth of the matter asserted, namely that Denise and Tom were married. As such, it qualifies as hearsay because it is being used to establish the fact that they were indeed married without being subject to cross-examination at trial.'}
44	To prove that Alex owned a red car, the fact that she sent an email to her mother explaining how she was planning on purchasing a red car.	Yes	Standard hearsay	{'answer': 'No', 'explanation': 'The statement in the email is not hearsay because it is an out-of-court statement made by Alex, the party-opponent, intended to show her plan to purchase a red car. Under the rules of evidence, statements made by a party-opponent are excluded from the definition of hearsay.'}
45	On the issue of whether the accident was a result of negligence, a bystander's exclamation that driver was looking down at their phone while driving.	Yes	Standard hearsay	"{'answer': 'No', 'explanation': ""The bystander's exclamation qualifies as an excited utterance, a recognized exception to the hearsay rule. Such statements are made in the heat of the moment, reflecting the declarant's immediate reaction to a startling event, thereby carrying inherent reliability.""}"
46	"On the issue of whether Henry committed insider trading, Alice's statement to Bob that Henry told her he had a ""great tip about what a certain stock was going to do."" "	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""Alice's statement to Bob regarding what Henry told her constitutes hearsay because it is an out-of-court statement being introduced to prove the truth of the matter asserted, specifically that Henry had insider information. Since Alice is relaying Henry's statement, it is not based on her direct knowledge, making it hearsay when used to demonstrate Henry's involvement in insider trading.""}"
47	On the issue of whether Jane knew that Arthur was having an affair, the fact that Bob told Jane he suspected Arthur was up to something.	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""Bob's statement to Jane about suspecting Arthur is an out-of-court statement introduced to prove that Jane knew or suspected something about Arthur's conduct. The statement is offered to prove its truth, namely that Arthur was up to something, which qualifies it as hearsay.""}"
48	On the issue of whether Mary was Tom's mother, the fact that Albert told Mary that Tom looked like her.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The fact that Albert told Mary that Tom looked like her is hearsay. This is an out-of-court statement introduced to prove the truth of the matter asserted, namely, that Mary was Tom's mother. Since Albert's statement is being used to support the claim of Mary's maternity based on resemblance, it qualifies as hearsay.""}"
49	Alex is being sued for breach of contract relating to a delay in the shipment of mangos. To prove that the shipment was delayed, a witness for the plaintiffs testifies that he heard Alex complain about not being able to deliver the mangos in time. 	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The testimony that the witness heard Alex complain about not being able to deliver the mangos in time is hearsay. This is because it is an out-of-court statement offered to prove the truth of the matter asserted, namely, that the shipment was delayed. The statement is being used to establish a fact about the delay in shipment.'}
50	Alex is being prosecuted for participation in a criminal conspiracy. To prove that Alex participated in the conspiracy, the prosecution's witness testifies that she heard Alex making plans to meet with his co-conspirators.	Yes	Standard hearsay	"{'answer': 'No', 'explanation': ""The fact that the prosecution's witness heard Alex making plans to meet with his co-conspirators is not hearsay if it is used to show that Alex participated in the conspiracy, rather than to prove the truth of the statements themselves. This is an exception to the hearsay rule known as 'statements by a co-conspirator during and in furtherance of the conspiracy,' which allows such statements to be admitted as evidence against a co-conspirator.""}"
51	Dave is being sued by Taylor Swift for copyright infringement. To prove that Dave had listened to Taylor Swift, the plaintiffs introduced evidence of Dave telling his friend that his favorite artist was Taylor Swift.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The evidence of Dave telling his friend that his favorite artist was Taylor Swift is hearsay because it is an out-of-court statement offered to prove the truth of the matter asserted, namely, that Dave had listened to Taylor Swift. Since Dave's statement is being used to demonstrate his familiarity with Taylor Swift's work, it qualifies as hearsay without an applicable exception.""}"
52	Angela is suing Harold for defamation. To prove that Harold knowingly spread falsehoods about her, Angela introduces evidence of Harold admitting to his friend that his statements about Angela were all lies.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement introduced is an out-of-court statement made by Harold to his friend, which is being used to prove the truth of the matter asserted, namely that Harold knowingly spread falsehoods about Angela. As such, it falls under the definition of hearsay, because it is offered for the truth of what was asserted in the statement itself.'}
53	Joe is being prosecuted for illegally transporting turtle eggs under an animal trafficking statute. To prove that Joe owned the duffel bag in which contained the turtle eggs, the prosecution introduces evidence of Joe asking a store-owner if they carried any duffel bags.	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""Hearsay involves an out-of-court statement offered to prove the truth of the matter asserted. Here, Joe's question to the store-owner is being introduced not to prove that the store-owner sold duffel bags, but to establish Joe's connection to the duffel bag found. The question serves as circumstantial evidence of ownership, not as a statement of fact.""}"
54	"Corporation A decides to sue Corporation B for stealing trade secrets. To prove that B did it, lawyers for A introduce as evidence a statement made by B's CEO to one of his friends that B ""would soon have the ability to compete with A."" "	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement made by B's CEO to a friend is an out-of-court statement offered to prove the truth of the matter asserted, which is that Corporation B had the intent or capability to use stolen trade secrets. This fits the definition of hearsay, as it relies on the out-of-court statement to establish a fact in the litigation.""}"
55	Kim is sued by Jim for medical malpractice. To prove that Kim was a bad doctor, Jim introduces evidence that Kim told her friend that she cheated on all her medical school exams.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement that Kim told her friend she cheated on her medical school exams is an out-of-court statement introduced to prove the truth of the matter asserted, specifically to demonstrate that Kim was a bad doctor. As it seeks to establish the truth of Kim's alleged past misconduct through her own out-of-court statement, it qualifies as hearsay.""}"
56	"To prove that Albert likes ice cream, the prosecution introduces evidence that Albert told Jim that ""he wanted an ice cream."""	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""Albert's statement to Jim that he 'wanted an ice cream' is being used to prove the truth of the matter asserted, which is that Albert likes ice cream. This is an out-of-court statement offered for proving the truth of the matter asserted, thus meeting the definition of hearsay.""}"
57	To prove that Jose liked red Ferraris, the defense introduces testimony from Tracy discussing how Jose told her that his favorite color is red and his favorite car is a Ferrari.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement involves Tracy testifying about what Jose told her regarding his favorite color and car, which is an out-of-court statement. The purpose of the testimony is to prove the truth of the matter asserted—that Jose likes red Ferraris—thus it qualifies as hearsay.'}
58	"To prove that Michael was in charge of the group, the plaintiffs introduce evidence of Michael stating, ""I am the boss here."""	Yes	Standard hearsay	"{'answer': 'No', 'explanation': 'The statement ""I am the boss here"" made by Michael is being introduced not to prove the truth of its content, but rather to establish that Michael asserted authority over the group, which is consistent with being in charge. For hearsay analysis, the key issue is whether the statement is used to prove the truth of the matter asserted. Here, the context involves demonstrating an action or status inherent in the statement itself, which makes it not hearsay.'}"
59	On the issue of whether Sandy knew that the cash belonged to Michael, Amy testifies that Sandy told her he thought he had Michael's cash.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The fact that Sandy told Amy he thought he had Michael's cash is an out-of-court statement being used to prove the truth of the matter asserted, namely that Sandy believed the cash belonged to Michael. Because it is being introduced to establish Sandy's knowledge about the ownership of the cash, it qualifies as hearsay.""}"
60	On the issue of whether the brakes were faulty, Amy testifies that she heard Arthur claim that he thought something was wrong with the car.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'This is hearsay because Amy is testifying about an out-of-court statement made by Arthur, which is introduced to prove the truth of the matter asserted, namely, that Arthur thought there was something wrong with the car. Since the statement is being offered to demonstrate the state of the brakes (faulty), and not for some other purpose, it constitutes hearsay.'}
61	To prove that the CEO knew of the fraudulent activities occuring, an email he sent his acknowledging his awareness of the conduct.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""The CEO's email is not hearsay because it is a statement made by a party-opponent. Under the hearsay rule, admissions by a party-opponent are excluded from the definition of hearsay, and such statements can be used against the party who made them. Therefore, the email directly reflecting the CEO's acknowledgment of the fraudulent activities is admissible as evidence.""}"
62	On the issue of whether the defendant knew he was trespassing, the fact that he shook his head when asked by a passing security guard about whether he knew he was on private property.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted. In this scenario, the defendant's non-verbal act of shaking his head is not a statement but an action or gesture. Thus, it does not constitute hearsay as it is not an assertion made out of court used for proving the truth of the fact in question.""}"
63	To prove that the insured under a life policy is dead, his wife offers a death certificate.	Yes	Non-verbal hearsay	{'answer': 'No', 'explanation': 'A death certificate is generally considered an exception to the hearsay rule under the public records exception. These documents are created by authorized officials and are contemporaneously recorded based on firsthand observations, thus they are deemed reliable and admissible as evidence of death without being considered hearsay.'}
64	On the issue of which car was responsible for the hit and run, the fact that a bystander turned and pointed to a blue sedan.	Yes	Non-verbal hearsay	{'answer': 'No', 'explanation': 'The fact that a bystander turned and pointed to a blue sedan is not hearsay. This action is considered a nonverbal conduct that is not intended as an assertion, nor does it assert something by nature, thus it is not an out-of-court statement introduced for the truth of the matter asserted. The pointing is an act of identification rather than an assertion.'}
65	To prove that the defendant was present at the scene of the crime, a forensics report describing traces of the defendant's DNA that was found by investigators.	Yes	Non-verbal hearsay	{'answer': 'No', 'explanation': 'Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted. A forensics report describing DNA traces is not a statement made by a person to prove something; it is a scientific document or evidence describing a fact found by investigators. Therefore, it is admissible as non-hearsay evidence.'}
66	To prove that the student was a terrible student, the mid-term report written by his teacher.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""A mid-term report written by a teacher is generally not considered hearsay when it is offered as evidence of the student's academic performance. The report is a record created in the regular course of the teacher's duties, and such records may be exempt from the hearsay rule under exceptions like business records or regularly conducted activity.""}"
67	On the issue of whether Albert visited the garage sale, the fact that Tom wrote in an email to Mary that he saw Albert at the garage sale.	Yes	Non-verbal hearsay	{'answer': 'Yes', 'explanation': 'The fact that Tom wrote in an email to Mary that he saw Albert at the garage sale is hearsay. This is because it is an out-of-court statement presented to prove the truth of the matter asserted, i.e., that Albert visited the garage sale. The statement is being offered not to show that Tom made the statement, but to prove that Albert was indeed at the garage sale.'}
68	On the issue of whether Albert supported environmental reform, the fact that his car has many stickers with environmental slogans.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""The evidence of Albert's car having stickers with environmental slogans is not hearsay because it is not an out-of-court statement. The stickers themselves are physical evidence representing Albert's support for environmental reform, not statements intended to prove the truth of the matter asserted through hearsay.""}"
69	On the issue of whether Albert bought a knife, Angela testified that he shook his head when she asked him.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""The evidence is not hearsay because Angela's testimony regarding Albert's head shake is an observation of Albert's conduct, not an out-of-court statement. A nonverbal gesture, such as shaking one's head, is considered conduct and can be used to demonstrate Albert's intent or response to Angela's question, rather than to prove the truth of the matter asserted. As such, it does not fall under the definition of hearsay.""}"
70	On the issue of Albert's wellbeing after the accident, Angela testified that he gave a thumbs up when asked how he was feeling.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""Angela's testimony about Albert giving a thumbs-up in response to how he was feeling is not hearsay. This is an instance of non-verbal conduct (Albert's thumbs-up) intended as an assertion, not an out-of-court statement. It is being used to show how he felt at the time, rather than to prove the truth of any specific verbal assertion.""}"
71	Albert is being sued by Tim for breach of contract. The issue is whether Albert knew at the time signing the contract that he had no intention of following through. Tim's lawyers introduce an email Albert wrote to his friend saying he wasn't planning on honoring the contract with Tim.	Yes	Non-verbal hearsay	{'answer': 'Yes', 'explanation': 'The email written by Albert to his friend is an out-of-court statement being introduced to prove the truth of the matter asserted—specifically, that Albert knew he had no intention of honoring the contract with Tim. As such, it meets the definition of hearsay: an out-of-court statement offered to prove the truth of the matter asserted. Unless an exception to the hearsay rule applies, this email would generally be considered hearsay.'}
