index	text	gold_answer	slice	llm_output
10	On the issue of how long Joseph and Thomas had known each other, the fact that were neighbors during elementary school.	No	Non-assertive conduct	"{'answer': 'No', 'explanation': ""The fact that Joseph and Thomas were neighbors during elementary school is not an out-of-court statement, but rather a fact about their past relationship. This information is being introduced to prove the duration of their acquaintance, and it does not rely on anyone's statement made outside of court. Therefore, it is not considered hearsay.""}"
11	On the issue of whether Susan was familiar with Shakespeare, the fact that she had once played the role of Macbeth and recieved a standing ovation after her monologue.	No	Non-assertive conduct	"{'answer': 'No', 'explanation': ""The fact that Susan played the role of Macbeth and received a standing ovation is not an out-of-court statement, but rather an action or circumstance that can be used to infer her familiarity with Shakespeare. This evidence is introduced to prove Susan's knowledge or experience with Shakespeare, not to prove the truth of any statement made by someone else. Therefore, it does not meet the definition of hearsay.""}"
12	On the issue of whether Jessica was aware she was trespassing, the fact that Jessica had been diagnosed as near-sighted by her ophthalmologist.	No	Non-assertive conduct	"{'answer': 'No', 'explanation': ""The fact that Jessica had been diagnosed as near-sighted by her ophthalmologist is not an out-of-court statement introduced to prove the truth of the matter asserted, which is whether Jessica was aware she was trespassing. This evidence is being introduced to provide context about Jessica's physical condition, not to prove the truth of what someone said outside of court. Therefore, it does not meet the definition of hearsay.""}"
13	On the issue of whether Sarah was acting as an agent for the corporation, the fact that Sarah had worked there previously for four years.	No	Non-assertive conduct	{'answer': 'No', 'explanation': 'The fact that Sarah had worked for the corporation previously for four years is not an out-of-court statement, but rather a piece of evidence about her past employment. This evidence is introduced to prove her potential relationship with the corporation, not to prove the truth of any out-of-court statement. Therefore, it does not meet the definition of hearsay.'}
14	On the issue of whether Charles was responsible for the defamatory article published online, the fact that Charles had visited the website responsible for the article multiple times in the past year.	No	Non-assertive conduct	"{'answer': 'No', 'explanation': ""The fact that Charles visited the website multiple times does not constitute an out-of-court statement, which is a requirement for hearsay. This evidence is more related to Charles' potential involvement or interest in the website rather than an assertion of fact. Therefore, it does not meet the definition of hearsay.""}"
15	On the issue of whether Karen negligently operated the forklift, the fact that Karen is a terrible driver who needed several tries to pass her commercial license test.	No	Non-assertive conduct	"{'answer': 'No', 'explanation': ""The fact that Karen is a terrible driver who needed several tries to pass her commercial license test is not an out-of-court statement, but rather a set of facts or circumstances that may be relevant to the issue of her negligence. This evidence is introduced to prove Karen's driving ability, not to prove the truth of the matter asserted by an out-of-court statement. Therefore, it does not meet the definition of hearsay.""}"
16	On the issue of whether the patent was infringed, the fact that the corporation's chief scientist was known to cheat at card games.	No	Non-assertive conduct	"{'answer': 'No', 'explanation': ""The fact that the corporation's chief scientist was known to cheat at card games is not an out-of-court statement, and it is not being introduced to prove the truth of the matter asserted regarding the patent infringement. This evidence appears to be irrelevant and potentially prejudicial, but it is not hearsay. It may be excluded under a different evidence rule, but not as hearsay.""}"
17	On the issue of whether Christopher acted with malice, the fact that Christopher was often moody and had a large temper.	No	Non-assertive conduct	"{'answer': 'No', 'explanation': ""The fact that Christopher was often moody and had a large temper is not an out-of-court statement, but rather a description of his character or behavior, which is being introduced to prove his state of mind or propensity for acting with malice. This evidence is not hearsay because it does not involve an out-of-court statement being offered to prove the truth of the matter asserted. It is being used to infer Christopher's mental state or behavior, making it non-hearsay evidence.""}"
18	On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party.	No	Non-assertive conduct	{'answer': 'No', 'explanation': 'The fact that one of the parties had mistaken the identity of the other party is not an out-of-court statement, but rather a circumstance or fact that can be used to determine whether the parties had actually agreed to the contract. This evidence is being introduced to prove the validity of the contract, not to prove the truth of the matter asserted by an out-of-court statement. Therefore, it does not meet the definition of hearsay.'}
19	On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The witness's statement in court is not hearsay because it is a direct statement made while testifying, not an out-of-court statement being introduced to prove the truth of the matter asserted. The witness is expressing their belief based on their own perception or observation, which is admissible as direct testimony. This distinguishes it from hearsay, which involves introducing an out-of-court statement for its truth.""}"
20	On the issue of the faultiness of the designed house, the drawing the witness made on the stand during testimony.	No	Statement made in-court	{'answer': 'No', 'explanation': 'The drawing made by the witness on the stand during testimony is not hearsay because it is not an out-of-court statement. It is a statement made in court, under oath, and is being used to prove the faultiness of the designed house. As it is a firsthand representation made by the witness during the trial, it does not meet the criteria for hearsay.'}
21	On the issue of which of the defendants was responsible for driving the get-away car, the fact that the witness on the stand turned and pointed to the man in the blue suit.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The witness's act of pointing to the man in the blue suit is a non-verbal statement, but it is not being introduced to prove the truth of the matter asserted, rather it is an identification of the defendant. This action is considered a demonstrative or identification gesture, not hearsay. As it is not an out-of-court statement being used to prove the truth of the matter, it does not meet the definition of hearsay.""}"
22	On the issue of whether Ana lied to Jim, Jim's statement on cross-examination that he did not believe Ana to be an honest individual.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Jim's statement on cross-examination that he did not believe Ana to be an honest individual is not hearsay because it is not an out-of-court statement being introduced to prove the truth of the matter asserted. Instead, it is Jim's personal opinion or belief about Ana's honesty, which is being offered as direct evidence of his state of mind. This distinction makes Jim's statement admissible as non-hearsay evidence.""}"
23	On the issue of whether Daniel drove negligently, the fact that Daniel testified during the trial that he told his wife he was tired before driving into a tree.	No	Statement made in-court	"{'answer': 'Yes', 'explanation': ""The statement 'I was tired' is an out-of-court statement made by Daniel to his wife, and it is being introduced to prove the truth of the matter asserted, which is that Daniel drove negligently due to being tired. This meets the definition of hearsay. The fact that Daniel testified to the statement during the trial does not change its hearsay status.""}"
24	On the issue of whether Carl had knowledge of Amy's intentions, Carl told the questioning attorney on redirect examination that he knew Amy's intentions.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The statement is not hearsay because it is Carl's own testimony about his knowledge, and he is not introducing an out-of-court statement to prove the truth of the matter asserted. Carl is speaking directly about his own state of mind, which is an exception to the hearsay rule. As a witness, Carl's testimony about his own knowledge is admissible as it is not an out-of-court statement being used to prove the truth of the matter.""}"
25	"On the issue of whether Nancy knew who attacked her, Nancy's statement in court, ""I was attacked by Sandra."""	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Nancy's statement in court is not hearsay because it is a direct statement made by the witness while testifying, rather than an out-of-court statement being introduced to prove the truth of the matter asserted. As a witness's direct testimony, it does not fall under the definition of hearsay. The statement is being used to prove that Nancy knew who attacked her, which is what she is directly testifying to.""}"
26	During the trial, Mark nodded when asked if it was him who vandalized Emily's garage.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""Mark's nod is a non-verbal statement made in court, not an out-of-court statement, and is being used to prove the truth of the matter asserted, which is whether Mark vandalized Emily's garage. Since it is not an out-of-court statement, it does not meet the definition of hearsay. The nod is considered a form of adoptive admission or a statement by a party opponent.""}"
27	On the issue of which employee saw Emily last, the fact that James testified on the stand that he was on vacation that day and had last spoken to Emily the week before.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The statement made by James is not an out-of-court statement, as he is testifying on the stand. James' testimony about his own actions and whereabouts is a direct statement, not hearsay. He is not repeating someone else's statement to prove the truth of the matter asserted.""}"
28	"On the issue of whether Will knew that the company intended to announce its drug trials had been cancelled, the fact that he told the jury that ""he didn't know the first thing about how medicines worked."""	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The statement made by Will is not an out-of-court statement, as it was made directly to the jury, and therefore does not meet the definition of hearsay. Additionally, the statement is being introduced to prove Will's lack of knowledge about medicines, not the truth of the matter asserted about the company's intentions. This distinction further supports the conclusion that the statement is not hearsay.""}"
29	On the issue of the defendant's guilt, Alex told the jury that he believed the defendant was guilty.	No	Statement made in-court	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court statement, as Alex's belief about the defendant's guilt is being introduced to prove the truth of the matter asserted, which is the defendant's guilt. This statement is not a direct observation or firsthand account, but rather an opinion or inference made by Alex. As such, it meets the definition of hearsay.""}"
30	When showed floorplans of the museum during the trial, Andrew pointed out all the escape routes that he and his co-conspirators had planned to use. 	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The evidence presented is Andrew's own testimony about the escape routes he and his co-conspirators planned to use, as indicated by his actions of pointing out the routes on the floorplans. This is a direct statement from Andrew himself and not an out-of-court statement being introduced to prove the truth of the matter asserted. Therefore, it does not meet the definition of hearsay.""}"
31	"When asked if he was remorseful by his attorney, Adam testified that ""he regretted his actions."""	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The statement 'he regretted his actions' is not being introduced to prove the truth of the matter asserted, which is Adam's remorsefulness. Instead, it is Adam's own testimony, making it a direct statement rather than hearsay. As a direct statement from the witness, it does not fall under the definition of hearsay.""}"
32	On the issue of whether Donna was ill, the fact that Margaret testified during trial that she thought Donna was unwell.	No	Statement made in-court	"{'answer': 'No', 'explanation': ""The statement is not hearsay because Margaret is testifying about her own thoughts and opinions, rather than introducing an out-of-court statement to prove the truth of the matter asserted. Margaret's testimony is an expression of her own perception or belief, which is admissible as it is not being offered to prove the truth of the matter asserted. This is an example of a lay opinion, which is allowed under the rules of evidence.""}"
33	On the issue of the sanity of Deborah, the fact that Deborah told her friend that she is completely sane.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court declaration made by Deborah to her friend, and it is being introduced to prove the truth of the matter asserted, which is Deborah's sanity. Since it meets the definition of hearsay, it is considered hearsay evidence. The fact that Deborah is asserting her own sanity does not exempt the statement from being hearsay.""}"
34	On the issue of whether Joshua's friend was attacked by Ashley, the fact that Joshua's friend told Joshua that he was just attacked by Ashley.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court declaration made by Joshua's friend, and it is being introduced to prove the truth of the matter asserted, namely that Ashley attacked him. This meets the definition of hearsay, as it is a statement made outside of court being used to establish the truth of the incident. The fact that Joshua's friend is recounting the attack to Joshua does not change the hearsay nature of the statement.""}"
35	To prove that Tom was in town, a witness testifies that her friend Susan told her Tom was in town.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""This is hearsay because the witness is testifying about an out-of-court statement made by Susan, which is being introduced to prove the truth of the matter asserted, namely that Tom was in town. The statement is an out-of-court declaration that is being used to establish the fact of Tom's presence in town. As such, it meets the definition of hearsay.""}"
36	To prove that Shirley committed fraud, the fact that she told her neighbor she was planning on tricking the defendant by selling them a fake handbag.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""This is hearsay because it is an out-of-court statement, specifically Shirley's statement to her neighbor, being introduced to prove the truth of the matter asserted, which is that Shirley committed fraud by planning to trick the defendant. The statement is being used to establish Shirley's intent and actions, making it hearsay. As it is an out-of-court statement offered to prove the truth of what was asserted, it meets the definition of hearsay.""}"
37	To prove that Stephen drove his car through a stoplight, the fact that Stephen told his wife on the phone that he was not paying attention to the road.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""This is hearsay because it is an out-of-court statement, specifically Stephen's statement to his wife on the phone, being introduced to prove the truth of the matter asserted, which is that Stephen was not paying attention to the road and drove through a stoplight. The statement is being used to establish the facts surrounding the incident, making it hearsay. Since it is an out-of-court statement being used for its truth, it meets the definition of hearsay.""}"
38	"On the issue of whether Henry negligently hit Kelly with his car, Kelly's statement, ""a witness told me after the crash that Henry was on his cell phone while driving."""	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court assertion made by the witness, which is being introduced to prove the truth of the matter asserted, namely that Henry was negligently driving. The witness's statement is a report of what someone else told them, making it hearsay. The fact that the witness is relaying someone else's statement, rather than testifying to their own personal knowledge, further supports the conclusion that it is hearsay.""}"
39	On the issue of whether Sean knew he was going to die, the fact that he called his lawyer wanting to make final changes to his will.	Yes	Standard hearsay	"{'answer': 'No', 'explanation': ""The fact that Sean called his lawyer to make final changes to his will is not an out-of-court statement introduced to prove the truth of the matter asserted, but rather an action that implies Sean's state of mind. This action is being used as evidence of Sean's knowledge of his impending death, making it non-hearsay. It is an inference drawn from Sean's conduct, not a statement introduced for its truth.""}"
40	To prove that Alice was planning a robbery, the fact that she told Bob she was researching escape routes.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court declaration made by Alice to Bob, and it is being introduced to prove the truth of the matter asserted, which is that Alice was planning a robbery. The fact that Alice told Bob she was researching escape routes is being used to establish her intent and plans, making it hearsay. This statement is not being used for any other purpose, such as to show Alice's state of mind or effect on Bob, which would be a non-hearsay purpose.""}"
41	To prove that Bruce committed medical malpractice, the fact that he told a nurse after the surgery that he thought he made a mistake.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement made by Bruce to the nurse is an out-of-court statement, and it is being introduced to prove the truth of the matter asserted, which is that Bruce committed medical malpractice by making a mistake. This meets the definition of hearsay, as it is a statement made outside of the courtroom being used to establish the truth of the matter. The fact that Bruce is admitting to a potential mistake makes the statement particularly relevant to proving the malpractice claim.'}
42	To prove that Alice suffered reputational harm, the fact that people were telling Bob that they had heard bad things about Alice.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement is an out-of-court statement, as it is what people told Bob, and it is being introduced to prove the truth of the matter asserted, which is that Alice suffered reputational harm because people had heard bad things about her. This meets the definition of hearsay. The fact that the statement is a report of what others said about Alice, rather than a direct statement from the people who heard bad things, further supports the conclusion that it is hearsay.'}
43	To prove that the Denise and Tom were married, the fact that Amber sent them a card congratulating them on their wedding.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The fact that Amber sent a card congratulating Denise and Tom on their wedding is an out-of-court statement, as it is an assertion made outside of the current trial. This statement is being introduced to prove the truth of the matter asserted, which is that Denise and Tom were married. Therefore, it meets the definition of hearsay.'}
44	To prove that Alex owned a red car, the fact that she sent an email to her mother explaining how she was planning on purchasing a red car.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The email sent by Alex to her mother is an out-of-court statement, and it is being introduced to prove the truth of the matter asserted, which is that Alex owns a red car. The statement is not being made by Alex while testifying in court, but rather through an email, which makes it hearsay. The email is being used to prove the truth of Alex's car ownership, which further supports the classification as hearsay.""}"
45	On the issue of whether the accident was a result of negligence, a bystander's exclamation that driver was looking down at their phone while driving.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The bystander's exclamation is an out-of-court statement being introduced to prove the truth of the matter asserted, which is that the driver was negligent. This statement is not being used for any other purpose, such as to show the bystander's state of mind. Therefore, it meets the definition of hearsay.""}"
46	"On the issue of whether Henry committed insider trading, Alice's statement to Bob that Henry told her he had a ""great tip about what a certain stock was going to do."" "	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is hearsay because it is an out-of-court statement introduced to prove the truth of the matter asserted, specifically that Henry committed insider trading. Alice's statement to Bob is being used to prove that Henry had knowledge of the stock's future performance, which is the truth of the matter asserted. This statement is an out-of-court declaration that is being used as evidence to establish the facts of the case.""}"
47	On the issue of whether Jane knew that Arthur was having an affair, the fact that Bob told Jane he suspected Arthur was up to something.	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court declaration by Bob, introduced to prove the truth of the matter asserted, which is that Jane knew or should have known about Arthur's affair. Since Bob's statement is being used to prove Jane's knowledge, it meets the definition of hearsay. The fact that Bob only expressed suspicion rather than direct knowledge does not change the hearsay nature of the statement.""}"
48	On the issue of whether Mary was Tom's mother, the fact that Albert told Mary that Tom looked like her.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court declaration made by Albert, and it's being introduced to prove the truth of the matter asserted, which is Mary's relationship to Tom. The fact that Albert told Mary that Tom looked like her is being used to establish Mary's maternity, making it hearsay. This out-of-court statement is not being used for any other purpose, such as to show Albert's state of mind, but rather to prove the truth of Mary's relationship to Tom.""}"
49	Alex is being sued for breach of contract relating to a delay in the shipment of mangos. To prove that the shipment was delayed, a witness for the plaintiffs testifies that he heard Alex complain about not being able to deliver the mangos in time. 	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The witness's testimony about hearing Alex complain is an out-of-court statement being introduced to prove the truth of the matter asserted, which is that the shipment was delayed. This statement is being used to establish the fact of the delay, making it hearsay. The witness is recounting what Alex said outside of court, which is the definition of hearsay.""}"
50	Alex is being prosecuted for participation in a criminal conspiracy. To prove that Alex participated in the conspiracy, the prosecution's witness testifies that she heard Alex making plans to meet with his co-conspirators.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The witness's testimony about hearing Alex make plans is an out-of-court statement being introduced to prove the truth of the matter asserted, namely that Alex participated in the conspiracy. This statement was made by Alex outside of the courtroom and is being used to establish the facts of the conspiracy. Therefore, it meets the definition of hearsay.""}"
51	Dave is being sued by Taylor Swift for copyright infringement. To prove that Dave had listened to Taylor Swift, the plaintiffs introduced evidence of Dave telling his friend that his favorite artist was Taylor Swift.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court declaration by Dave, introduced to prove the truth of the matter asserted, which is that Dave had listened to Taylor Swift. This statement is being used to establish Dave's familiarity with Taylor Swift's music, thereby potentially supporting the copyright infringement claim. As it is an out-of-court statement offered to prove the truth of the matter asserted, it meets the definition of hearsay.""}"
52	Angela is suing Harold for defamation. To prove that Harold knowingly spread falsehoods about her, Angela introduces evidence of Harold admitting to his friend that his statements about Angela were all lies.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement is an out-of-court admission by Harold to his friend that his statements about Angela were lies, which is being introduced to prove the truth of the matter asserted, namely that Harold knowingly spread falsehoods. This meets the definition of hearsay. The fact that it is an admission by a party opponent does not change its hearsay status, although it may be admissible under a different rule.'}
53	Joe is being prosecuted for illegally transporting turtle eggs under an animal trafficking statute. To prove that Joe owned the duffel bag in which contained the turtle eggs, the prosecution introduces evidence of Joe asking a store-owner if they carried any duffel bags.	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""The statement is being introduced to prove Joe's ownership of the duffel bag, but it is not being offered to prove the truth of the matter asserted, which is that Joe was transporting turtle eggs. Instead, the statement is being used to show Joe's interest in purchasing a duffel bag, which is circumstantial evidence of his ownership of the bag. This is an example of an out-of-court statement being used for a purpose other than proving the truth of the matter asserted, so it is not hearsay.""}"
54	"Corporation A decides to sue Corporation B for stealing trade secrets. To prove that B did it, lawyers for A introduce as evidence a statement made by B's CEO to one of his friends that B ""would soon have the ability to compete with A."" "	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement made by B's CEO to his friend is an out-of-court statement being introduced to prove the truth of the matter asserted, which is that Corporation B stole trade secrets from Corporation A. The statement implies that B will soon have the ability to compete with A, suggesting that B may have obtained confidential information. This statement is being used to prove the truth of the matter asserted, making it hearsay.""}"
55	Kim is sued by Jim for medical malpractice. To prove that Kim was a bad doctor, Jim introduces evidence that Kim told her friend that she cheated on all her medical school exams.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement is an out-of-court statement made by Kim to her friend, and it is being introduced to prove the truth of the matter asserted, which is that Kim was a bad doctor. The statement is being used to show that Kim cheated on her medical school exams, which implies that she is not a competent doctor. This meets the definition of hearsay, as it is an out-of-court statement being used to prove the truth of the matter asserted.'}
56	"To prove that Albert likes ice cream, the prosecution introduces evidence that Albert told Jim that ""he wanted an ice cream."""	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement 'he wanted an ice cream' is an out-of-court statement made by Albert, and it is being introduced to prove the truth of the matter asserted, which is that Albert likes ice cream. This meets the definition of hearsay, as it is a statement made outside of court being used to prove the truth of what was said. Therefore, the evidence is hearsay.""}"
57	To prove that Jose liked red Ferraris, the defense introduces testimony from Tracy discussing how Jose told her that his favorite color is red and his favorite car is a Ferrari.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement is an out-of-court declaration made by Jose, and it is being introduced to prove the truth of the matter asserted - that Jose likes red Ferraris. Tracy's testimony about what Jose told her is being used to establish Jose's preference, making it hearsay. The statement is not being used for any other purpose, such as to impeach Jose's credibility or to show his state of mind, which would potentially exempt it from the hearsay rule.""}"
58	"To prove that Michael was in charge of the group, the plaintiffs introduce evidence of Michael stating, ""I am the boss here."""	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""The statement 'I am the boss here' is an out-of-court statement made by Michael, and it is being introduced to prove the truth of the matter asserted, which is that Michael was in charge of the group. This meets the definition of hearsay, as it is a statement made outside of court being used to prove the truth of what was said. The fact that Michael said it is being used to establish his role in the group, making it hearsay.""}"
59	On the issue of whether Sandy knew that the cash belonged to Michael, Amy testifies that Sandy told her he thought he had Michael's cash.	Yes	Standard hearsay	{'answer': 'Yes', 'explanation': 'The statement is an out-of-court declaration made by Sandy, and it is being introduced to prove the truth of the matter asserted, which is that Sandy knew the cash belonged to Michael. Amy is testifying about what Sandy told her, making it a second-hand account of an out-of-court statement. This meets the definition of hearsay.'}
60	On the issue of whether the brakes were faulty, Amy testifies that she heard Arthur claim that he thought something was wrong with the car.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""This is hearsay because Amy is testifying about an out-of-court statement made by Arthur, which is being introduced to prove the truth of the matter asserted, namely that the brakes were faulty. The statement is an out-of-court assertion by Arthur that he thought something was wrong with the car, and Amy's testimony about it is being used to prove the brakes were indeed faulty. As such, it meets the definition of hearsay.""}"
61	To prove that the CEO knew of the fraudulent activities occuring, an email he sent his acknowledging his awareness of the conduct.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""The email is being introduced to prove the CEO's awareness of the conduct, but since it is a statement made by the CEO himself, it is not considered hearsay. Hearsay requires an out-of-court statement made by someone other than the witness, which is not the case here. The email is an admission by a party opponent, which is an exception to the hearsay rule.""}"
62	On the issue of whether the defendant knew he was trespassing, the fact that he shook his head when asked by a passing security guard about whether he knew he was on private property.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""The defendant's action of shaking his head is a non-verbal response, which is considered a form of conduct or bodily expression, rather than an out-of-court statement. As such, it does not meet the definition of hearsay. This non-verbal response is being introduced to prove the defendant's knowledge or intent, but it is not a statement being offered for the truth of the matter asserted.""}"
63	To prove that the insured under a life policy is dead, his wife offers a death certificate.	Yes	Non-verbal hearsay	{'answer': 'Yes', 'explanation': 'The death certificate is an out-of-court statement, as it was created outside of the current court proceedings. It is being introduced to prove the truth of the matter asserted, which is that the insured is dead. Therefore, it meets the definition of hearsay, although it may be admissible under a hearsay exception, such as the public records exception.'}
64	On the issue of which car was responsible for the hit and run, the fact that a bystander turned and pointed to a blue sedan.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""The bystander's action of pointing to a blue sedan is a non-verbal statement, but it is not being introduced to prove the truth of the matter asserted, rather it is being used to identify the car. This action is considered a demonstrative or gestural statement, which is not hearsay. As it is not an out-of-court statement being used to prove the truth of the matter, it does not meet the definition of hearsay.""}"
65	To prove that the defendant was present at the scene of the crime, a forensics report describing traces of the defendant's DNA that was found by investigators.	Yes	Non-verbal hearsay	"{'answer': 'Yes', 'explanation': ""The forensics report is an out-of-court statement, as it is a document created by investigators outside of the courtroom. This report is being introduced to prove the truth of the matter asserted, which is the defendant's presence at the scene of the crime. Therefore, the report meets the definition of hearsay.""}"
66	To prove that the student was a terrible student, the mid-term report written by his teacher.	Yes	Non-verbal hearsay	{'answer': 'Yes', 'explanation': 'The mid-term report written by the teacher is an out-of-court statement, as it was created outside of the current trial. This report is being introduced to prove the truth of the matter asserted, which is that the student was a terrible student. Therefore, it meets the definition of hearsay.'}
67	On the issue of whether Albert visited the garage sale, the fact that Tom wrote in an email to Mary that he saw Albert at the garage sale.	Yes	Non-verbal hearsay	{'answer': 'Yes', 'explanation': 'The statement is an out-of-court declaration made by Tom in an email to Mary, and it is being introduced to prove the truth of the matter asserted, which is that Albert visited the garage sale. This meets the definition of hearsay, as it is a statement made outside of court being used to prove the truth of what was said. The fact that Tom wrote this in an email makes it a hearsay statement.'}
